Drugname	NCIDS:Phase:Status:Literature
gemcitabine	NCT00941967:Phase 2:Unknown status:No publish;;NCT00006010:Phase 2:Completed:Alberts SR, Reid JM, Morlan BW, Farr GH Jr, Camoriano JK, Johnson DB, Enger JR, Seay TE, Kim GP. Gemcitabine and docetaxel for hepatocellular carcinoma: a phase II North Central Cancer Treatment Group clinical trial. Am J Clin Oncol. 2012 Oct;35(5):418-23.;;NCT00250822:Phase 2:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT00304135:Phase 2|Phase 3:Completed:Phelip JM, Vendrely V, Rostain F, Subtil F, Jouve JL, Gasmi M, Michel P, Le Malicot K, Smith D, Seitz JF, Fauchart JP, Martin P, Bennouna J, Morin T, Bonnet I, Maingon P, Lepage C, Chauffert B. Gemcitabine plus cisplatin versus chemoradiotherapy in locally advanced biliary tract cancer: F��d��ration Francophone de Canc��rologie Digestive 9902 phase II randomised study. Eur J Cancer. 2014 Nov;50(17):2975-82. doi: 10.1016/j.ejca.2014.08.013. Epub 2014 Sep 17.;;NCT00059865:Phase 1|Phase 2:Completed:Alberts SR, Sande JR, Foster NR, Quevedo FJ, McWilliams RR, Kugler JW, Fitch TR, Jaslowski AJ. Pemetrexed and gemcitabine for biliary tract and gallbladder carcinomas: a North Central Cancer Treatment Group (NCCTG) phase I and II Trial, N9943. J Gastrointest Cancer. 2007;38(2-4):87-94. doi: 10.1007/s12029-008-9037-8. Epub 2008 Nov 21.;;NCT01525069:Phase 1:Recruiting:No publish;;NCT00009893:Phase 2:Completed:Alberts SR, Al-Khatib H, Mahoney MR, Burgart L, Cera PJ, Flynn PJ, Finch TR, Levitt R, Windschitl HE, Knost JA, Tschetter LK. Gemcitabine, 5-fluorouracil, and leucovorin in advanced biliary tract and gallbladder carcinoma: a North Central Cancer Treatment Group phase II trial. Cancer. 2005 Jan 1;103(1):111-8.;;NCT01313377:Phase 3:Completed:No publish;;NCT00987766:Phase 1:Completed:No publish;;NCT00019513:Phase 1:Completed:No publish;;NCT02423239:Phase 1:Unknown status:No publish;;NCT03017326:Phase 3:Recruiting:No publish;;NCT00844688:Phase 2:Unknown status:No publish;;NCT00142467:Phase 2:Completed:No publish
4sc-201	NCT00943449:Phase 2:Completed:No publish
e7080	NCT00946153:Phase 1|Phase 2:Completed:No publish
sorafenib	NCT00949182:Phase 2:Completed:No publish;;NCT00867321:Phase 1|Phase 2:Completed:No publish;;NCT01324076:Phase 3:Unknown status:No publish;;NCT01182272:Phase 2:Unknown status:No publish;;NCT01075113:Phase 1:Active, not recruiting:No publish;;NCT01005199:Phase 2:Completed:No publish;;NCT02292173:Phase 1:Recruiting:No publish;;NCT00881751:Phase 2:Completed:No publish;;NCT00875615:Phase 2:Completed:No publish;;NCT01011010:Phase 1:Completed:No publish;;NCT01075555:Phase 3:Completed:No publish;;NCT00941967:Phase 2:Unknown status:No publish;;NCT03037437:Phase 2:Recruiting:No publish;;NCT00997022:Phase 1:Completed:No publish;;NCT01754987:Phase 1|Phase 2:Completed:No publish;;NCT00813293:Phase 2:Active, not recruiting:No publish;;NCT01497444:Phase 1:Active, not recruiting:No publish;;NCT01932385:Phase 2|Phase 3:Completed:No publish;;NCT03164382:Phase 3:Recruiting:No publish;;NCT01042041:Phase 1:Completed:No publish;;NCT01033240:Phase 2:Completed:No publish;;NCT01624285:Phase 2:Active, not recruiting:No publish;;NCT00844168:Phase 1:Completed:No publish;;NCT01008566:Phase 1:Completed:No publish;;NCT03211416:Phase 1|Phase 2:Recruiting:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT01775501:Phase 2:Active, not recruiting:No publish;;NCT01306058:Phase 1|Phase 2:Completed:No publish;;NCT01666756:Phase 1:Active, not recruiting:No publish;;NCT02575339:Phase 1|Phase 2:Active, not recruiting:No publish;;NCT01502410:Phase 2:Completed:No publish;;NCT00844883:Phase 2:Completed:No publish;;NCT00999843:Phase 1|Phase 2:Unknown status:No publish;;NCT01658878:Phase 1|Phase 2:Active, not recruiting:No publish;;NCT03439891:Phase 2:Recruiting:No publish;;NCT00976170:Phase 1:Completed:No publish;;NCT01004978:Phase 3:Active, not recruiting:No publish;;NCT01015833:Phase 3:Active, not recruiting:No publish;;NCT00906373:Phase 2:Completed:No publish;;NCT02240433:Phase 1:Active, not recruiting:No publish;;NCT00872014:Phase 2:Completed:No publish;;NCT01214343:Phase 3:Unknown status:No publish;;NCT01214343:Phase 3:Unknown status:No publish;;NCT00712855:Phase 1:Completed:No publish;;NCT03412773:Phase 3:Recruiting:No publish;;NCT01498952:Phase 1:Completed:No publish;;NCT00105443:Phase 3:Completed:Llovet JM, Ricci S, Mazzaferro V, Hilgard P, Gane E, Blanc JF, de Oliveira AC, Santoro A, Raoul JL, Forner A, Schwartz M, Porta C, Zeuzem S, Bolondi L, Greten TF, Galle PR, Seitz JF, Borbath I, Häussinger D, Giannaris T, Shan M, Moscovici M, Voliotis D, Bruix J; SHARP Investigators Study Group. Sorafenib in advanced hepatocellular carcinoma. N Engl J Med. 2008 Jul 24;359(4):378-90. doi: 10.1056/NEJMoa0708857.;;NCT00892424:Phase 1|Phase 2:Active, not recruiting:No publish;;NCT01203787:Phase 4:Completed:No publish;;NCT01203787:Phase 4:Completed:No publish;;NCT00044512:Phase 2:Completed:Abou-Alfa GK, Schwartz L, Ricci S, Amadori D, Santoro A, Figer A, De Greve J, Douillard JY, Lathia C, Schwartz B, Taylor I, Moscovici M, Saltz LB. Phase II study of sorafenib in patients with advanced hepatocellular carcinoma. J Clin Oncol. 2006 Sep 10;24(26):4293-300. Epub 2006 Aug 14.;;NCT01008917:Phase 1:Completed:No publish;;NCT00108953:Phase 2:Completed:Abou-Alfa GK, Schwartz L, Ricci S, Amadori D, Santoro A, Figer A, De Greve J, Douillard JY, Lathia C, Schwartz B, Taylor I, Moscovici M, Saltz LB. Phase II study of sorafenib in patients with advanced hepatocellular carcinoma. J Clin Oncol. 2006 Sep 10;24(26):4293-300. Epub 2006 Aug 14.;;NCT00494299:Phase 3:Completed:Kudo M, Imanaka K, Chida N, Nakachi K, Tak WY, Takayama T, Yoon JH, Hori T, Kumada H, Hayashi N, Kaneko S, Tsubouchi H, Suh DJ, Furuse J, Okusaka T, Tanaka K, Matsui O, Wada M, Yamaguchi I, Ohya T, Meinhardt G, Okita K. Phase III study of sorafenib after transarterial chemoembolisation in Japanese and Korean patients with unresectable hepatocellular carcinoma. Eur J Cancer. 2011 Sep;47(14):2117-27. doi: 10.1016/j.ejca.2011.05.007.;;NCT03582618:Phase 2:Not yet recruiting:No publish;;NCT01232296:Phase 2:Completed:No publish;;NCT02988440:Phase 1:Recruiting:No publish;;NCT00956436:Phase 1:Completed:No publish;;NCT00398814:Phase 1:Completed:Preliminary results / Journal of Clinical Oncology, 2008 ASCO Annual Meeting Proceedings (Post-Meeting Edition). Vol 26, No 15S (May 20 Supplement), 2008: 16024;;NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT01988493:Phase 1|Phase 2:Active, not recruiting:No publish;;NCT02560779:Phase 1|Phase 2:Recruiting:No publish;;NCT02400788:Phase 1|Phase 2:Completed:No publish;;NCT02279719:Phase 1|Phase 2:Recruiting:No publish;;NCT01271504:Phase 1|Phase 2:Completed:No publish;;NCT02645981:Phase 2|Phase 3:Recruiting:No publish;;NCT01906216:Phase 2|Phase 3:Recruiting:No publish;;NCT00768937:Phase 1|Phase 2:Completed:No publish;;NCT00882869:Phase 1|Phase 2:Completed:No publish;;NCT02129322:Phase 2:Not yet recruiting:No publish;;NCT02423239:Phase 1:Unknown status:No publish;;NCT02354898:Phase 1:Recruiting:No publish;;NCT03009461:Phase 2:Recruiting:No publish;;NCT03017326:Phase 3:Recruiting:No publish;;NCT03468231:Phase 3:Recruiting:No publish;;NCT01482442:Phase 3:Completed:No publish;;NCT01272557:Phase 2:Unknown status:No publish;;NCT03578874:Phase 2:Recruiting:No publish;;NCT02774187:Phase 3:Active, not recruiting:Fan W, Zhang Y, Wang Y, Yao X, Yang J, Li J. Neutrophil-to-lymphocyte and platelet-to-lymphocyte ratios as predictors of survival and metastasis for recurrent hepatocellular carcinoma after transarterial chemoembolization. PLoS One. 2015 Mar 5;10(3):e0119312. doi: 10.1371/journal.pone.0119312. eCollection 2015.;;NCT03518502:Phase 4:Recruiting:Cabrera R, Pannu DS, Caridi J, Firpi RJ, Soldevila-Pico C, Morelli G, Clark V, Suman A, George TJ Jr, Nelson DR. The combination of sorafenib with transarterial chemoembolisation for hepatocellular carcinoma. Aliment Pharmacol Ther. 2011 Jul;34(2):205-13. doi: 10.1111/j.1365-2036.2011.04697.x. Epub 2011 May 23.;;NCT03434379:Phase 3:Recruiting:No publish;;NCT03298451:Phase 3:Recruiting:No publish;;NCT03236649:Phase 3:Not yet recruiting:No publish;;NCT02867280:Phase 3:Recruiting:No publish;;NCT02562755:Phase 3:Recruiting:No publish;;NCT02733809:Phase 4:Recruiting:No publish;;NCT02716766:Phase 2:Recruiting:No publish;;NCT02672488:Phase 2:Recruiting:No publish;;NCT01761266:Phase 3:Active, not recruiting:No publish;;NCT02576509:Phase 3:Active, not recruiting:No publish;;NCT02504983:Phase 4:Unknown status:Liang KH, Lin CL, Chen SF, Chiu CW, Yang PC, Chang ML, Lin CC, Sung KF, Yeh C, Hung CF, Chien RN, Yeh CT. GALNT14 genotype effectively predicts the therapeutic response in unresectable hepatocellular carcinoma treated with transcatheter arterial chemoembolization. Pharmacogenomics. 2016 Mar;17(4):353-66. doi: 10.2217/pgs.15.179. Epub 2016 Feb 12.;;NCT02436902:Phase 3:Recruiting:No publish;;NCT02358395:Phase 1:Completed:No publish;;NCT02971696:Phase 3:Completed:No publish;;NCT02961998:Phase 4:Completed:No publish;;NCT02311205:Phase 2:Active, not recruiting:No publish;;NCT01840592:Phase 2:Active, not recruiting:No publish;;NCT00846131:Phase 1:Completed:Kulik L, Vouche M, Koppe S, Lewandowski RJ, Mulcahy MF, Ganger D, Habib A, Karp J, Al-Saden P, Lacouture M, Cotliar J, Abecassis M, Baker T, Salem R. Prospective randomized pilot study of Y90+/-sorafenib as bridge to transplantation in hepatocellular carcinoma. J Hepatol. 2014 Aug;61(2):309-17. doi: 10.1016/j.jhep.2014.03.023. Epub 2014 Mar 27.;;NCT02178358:Phase 2:Active, not recruiting:No publish;;NCT01915602:Phase 2:Completed:No publish;;NCT01903694:Phase 3:Completed:No publish;;NCT01903694:Phase 3:Completed:No publish;;NCT01897038:Phase 1:Completed:No publish;;NCT01605734:Phase 2:Unknown status:No publish;;NCT01507064:Phase 2:Completed:No publish;;NCT01409499:Phase 4:Unknown status:No publish;;NCT01357486:Phase 2:Completed:No publish;;NCT01357486:Phase 2:Completed:No publish;;NCT01308723:Phase 1:Completed:No publish;;NCT01258608:Phase 2:Completed:No publish;;NCT01246986:Phase 2:Active, not recruiting:No publish;;NCT01170104:Phase 2:Unknown status:No publish;;NCT01098760:Phase 4:Completed:No publish;;NCT01004003:Phase 2:Completed:No publish;;NCT00987935:Phase 2:Completed:No publish;;NCT00943449:Phase 2:Completed:No publish;;NCT00901901:Phase 3:Completed:No publish;;NCT00892658:Phase 1:Active, not recruiting:No publish;;NCT01265576:Phase 2:Unknown status:No publish;;NCT00858871:Phase 3:Completed:No publish;;NCT00855218:Phase 2:Completed:No publish;;NCT01259193:Phase 2:Unknown status:No publish;;NCT00844688:Phase 2:Unknown status:No publish;;NCT00823290:Phase 1:Unknown status:No publish;;NCT00752063:Phase 2:Unknown status:No publish;;NCT00703365:Phase 2:Completed:No publish;;NCT00619541:Phase 2:Completed:No publish;;NCT00492752:Phase 3:Completed:Cheng AL, Kang YK, Chen Z, Tsao CJ, Qin S, Kim JS, Luo R, Feng J, Ye S, Yang TS, Xu J, Sun Y, Liang H, Liu J, Wang J, Tak WY, Pan H, Burock K, Zou J, Voliotis D, Guan Z. Efficacy and safety of sorafenib in patients in the Asia-Pacific region with advanced hepatocellular carcinoma: a phase III randomised, double-blind, placebo-controlled trial. Lancet Oncol. 2009 Jan;10(1):25-34. doi: 10.1016/S1470-2045(08)70285-7. Epub 2008 Dec 16.;;NCT00490685:Phase 2:Completed:No publish;;NCT00478374:Phase 1:Completed:Dufour JF, Hoppe H, Heim MH, Helbling B, Maurhofer O, Szucs-Farkas Z, Kickuth R, Borner M, Candinas D, Saar B. Continuous administration of sorafenib in combination with transarterial chemoembolization in patients with hepatocellular carcinoma: results of a phase I study. Oncologist. 2010;15(11):1198-204. doi: 10.1634/theoncologist.2010-0180. Epub 2010 Oct 29.;;NCT00464919:Phase 2:Completed:No publish
biib022	NCT00956436:Phase 1:Completed:No publish
adefovir	NCT00960518:Phase 2:Unknown status:No publish
combretastatin	NCT00960557:Phase 1:Completed:No publish
gc33(ro5137382)	NCT00976170:Phase 1:Completed:No publish
cetuximab	NCT00980239:Phase 1:Completed:No publish;;NCT01564810:Phase 4:Unknown status:No publish;;NCT00397384:Phase 1:Completed:No publish;;NCT03493048:Phase 2:Recruiting:No publish;;NCT00153998:Phase 2:Completed:No publish;;NCT00153998:Phase 2:Completed:No publish;;NCT00153998:Phase 2:Completed:No publish;;NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT03319459:Phase 1:Recruiting:No publish;;NCT00142428:Phase 2:Completed:No publish;;NCT01836653:Phase 2:Completed:No publish;;NCT01802645:Phase 2:Recruiting:No publish;;NCT03031444:Phase 2|Phase 3:Recruiting:Fong Y, Fortner J, Sun RL, Brennan MF, Blumgart LH. Clinical score for predicting recurrence after hepatic resection for metastatic colorectal cancer: analysis of 1001 consecutive cases. Ann Surg. 1999 Sep;230(3):309-18; discussion 318-21.
temsirolimus	NCT00980460:Phase 3:Active, not recruiting:No publish;;NCT01010126:Phase 2:Completed:No publish;;NCT01687673:Phase 2:Active, not recruiting:No publish;;NCT01567930:Phase 2:Unknown status:No publish
pv-10	NCT00986661:Phase 1:Recruiting:No publish
azd8055	NCT00999882:Phase 1:Completed:No publish
bay73-4506	NCT01003015:Phase 2:Completed:Bruix J, Tak WY, Gasbarrini A, Santoro A, Colombo M, Lim HY, Mazzaferro V, Wiest R, Reig M, Wagner A, Bolondi L. Regorafenib as second-line therapy for intermediate or advanced hepatocellular carcinoma: multicentre, open-label, phase II safety study. Eur J Cancer. 2013 Nov;49(16):3412-9. doi: 10.1016/j.ejca.2013.05.028. Epub 2013 Jun 25.
bibf	NCT01004003:Phase 2:Completed:No publish;;NCT00987935:Phase 2:Completed:No publish
everolimus	NCT01005199:Phase 2:Completed:No publish;;NCT01642186:Phase 2:Active, not recruiting:No publish;;NCT02081755:Phase 4:Recruiting:No publish;;NCT01423708:Phase 2:Unknown status:No publish;;NCT01469572:Phase 1:Active, not recruiting:No publish;;NCT01488487:Phase 2:Completed:No publish;;NCT01035229:Phase 3:Completed:No publish;;NCT01035229:Phase 3:Completed:No publish
mitomycin	NCT01011010:Phase 1:Completed:No publish;;NCT00003907:Phase 2:Completed:No publish;;NCT01042041:Phase 1:Completed:No publish;;NCT01004978:Phase 3:Active, not recruiting:No publish;;NCT01511146:Phase 2:Unknown status:No publish;;NCT02638857:Phase 1|Phase 2:Unknown status:No publish;;NCT00023868:Phase 3:Completed:No publish
cs-1008	NCT01033240:Phase 2:Completed:No publish
foflox4	NCT01035385:Phase 3:Unknown status:No publish
idarubicin	NCT01040559:Phase 1:Completed:No publish
eicosapentaenoic	NCT01070355:Phase 2:Completed:No publish
vorinostat	NCT01075113:Phase 1:Active, not recruiting:No publish;;NCT00537121:Phase 1:Completed:No publish
[f	NCT01075399:Phase 2:Completed:No publish
pravastatin	NCT01075555:Phase 3:Completed:No publish;;NCT03219372:Phase 2:Recruiting:No publish;;NCT01357486:Phase 2:Completed:No publish;;NCT01418729:Phase 2:Completed:No publish
telbivudine	NCT01102335:Phase 4:Unknown status:No publish
doxorubicin,	NCT01116635:Phase 1|Phase 2:Completed:No publish
ezn-2968	NCT01120288:Phase 1:Completed:No publish
188re-sss	NCT01126463:Phase 1:Recruiting:No publish
silybin	NCT01129570:Phase 1:Completed:No publish
pentoxifylline	NCT01149304:Phase 2:Completed:Seidensticker M, Seidensticker R, Damm R, Mohnike K, Pech M, Sangro B, Hass P, Wust P, Kropf S, Gademann G, Ricke J. Prospective randomized trial of enoxaparin, pentoxifylline and ursodeoxycholic acid for prevention of radiation-induced liver toxicity. PLoS One. 2014 Nov 13;9(11):e112731. doi: 10.1371/journal.pone.0112731. eCollection 2014.
ursodeoxycholic	NCT01149304:Phase 2:Completed:Seidensticker M, Seidensticker R, Damm R, Mohnike K, Pech M, Sangro B, Hass P, Wust P, Kropf S, Gademann G, Ricke J. Prospective randomized trial of enoxaparin, pentoxifylline and ursodeoxycholic acid for prevention of radiation-induced liver toxicity. PLoS One. 2014 Nov 13;9(11):e112731. doi: 10.1371/journal.pone.0112731. eCollection 2014.
enoxaparin	NCT01149304:Phase 2:Completed:Seidensticker M, Seidensticker R, Damm R, Mohnike K, Pech M, Sangro B, Hass P, Wust P, Kropf S, Gademann G, Ricke J. Prospective randomized trial of enoxaparin, pentoxifylline and ursodeoxycholic acid for prevention of radiation-induced liver toxicity. PLoS One. 2014 Nov 13;9(11):e112731. doi: 10.1371/journal.pone.0112731. eCollection 2014.
sunitinib	NCT01164202:Phase 2|Phase 3:Completed:No publish;;NCT00514228:Phase 2:Completed:Koeberle D, Montemurro M, Samaras P, Majno P, Simcock M, Limacher A, Lerch S, Kov��cs K, Inauen R, Hess V, Saletti P, Borner M, Roth A, Bodoky G. Continuous Sunitinib treatment in patients with advanced hepatocellular carcinoma: a Swiss Group for Clinical Cancer Research (SAKK) and Swiss Association for the Study of the Liver (SASL) multicenter phase II trial (SAKK 77/06). Oncologist. 2010;15(3):285-92. doi: 10.1634/theoncologist.2009-0316. Epub 2010 Mar 4.;;NCT00247676:Phase 2:Completed:No publish;;NCT00806663:Phase 2:Completed:No publish;;NCT02465060:Phase 2:Recruiting:No publish
placebo	NCT01164202:Phase 2|Phase 3:Completed:No publish;;NCT02029157:Phase 3:Completed:No publish;;NCT00845689:Phase 1|Phase 2:Unknown status:No publish;;NCT01640808:Phase 3:Unknown status:No publish;;NCT00575523:Phase 4:Completed:No publish;;NCT01562821:Phase 2:Completed:Shao YF, Yang JM, Chau GY, Sirivatanauksorn Y, Zhong SX, Erhardtsen E, Nivatvongs S, Lee PH. Safety and hemostatic effect of recombinant activated factor VII in cirrhotic patients undergoing partial hepatectomy: a multicenter, randomized, double-blind, placebo-controlled trial. Am J Surg. 2006 Feb;191(2):245-9.;;NCT02435433:Phase 3:Recruiting:No publish;;NCT00105443:Phase 3:Completed:Llovet JM, Ricci S, Mazzaferro V, Hilgard P, Gane E, Blanc JF, de Oliveira AC, Santoro A, Raoul JL, Forner A, Schwartz M, Porta C, Zeuzem S, Bolondi L, Greten TF, Galle PR, Seitz JF, Borbath I, Häussinger D, Giannaris T, Shan M, Moscovici M, Voliotis D, Bruix J; SHARP Investigators Study Group. Sorafenib in advanced hepatocellular carcinoma. N Engl J Med. 2008 Jul 24;359(4):378-90. doi: 10.1056/NEJMoa0708857.;;NCT00707681:Phase 2:Unknown status:No publish;;NCT00494299:Phase 3:Completed:Kudo M, Imanaka K, Chida N, Nakachi K, Tak WY, Takayama T, Yoon JH, Hori T, Kumada H, Hayashi N, Kaneko S, Tsubouchi H, Suh DJ, Furuse J, Okusaka T, Tanaka K, Matsui O, Wada M, Yamaguchi I, Ohya T, Meinhardt G, Okita K. Phase III study of sorafenib after transarterial chemoembolisation in Japanese and Korean patients with unresectable hepatocellular carcinoma. Eur J Cancer. 2011 Sep;47(14):2117-27. doi: 10.1016/j.ejca.2011.05.007.;;NCT03326791:Phase 2:Recruiting:No publish;;NCT01908426:Phase 3:Active, not recruiting:No publish;;NCT00692770:Phase 3:Completed:Bruix J, Takayama T, Mazzaferro V, Chau GY, Yang J, Kudo M, Cai J, Poon RT, Han KH, Tak WY, Lee HC, Song T, Roayaie S, Bolondi L, Lee KS, Makuuchi M, Souza F, Berre MA, Meinhardt G, Llovet JM; STORM investigators. Adjuvant sorafenib for hepatocellular carcinoma after resection or ablation (STORM): a phase 3, randomised, double-blind, placebo-controlled trial. Lancet Oncol. 2015 Oct;16(13):1344-54. doi: 10.1016/S1470-2045(15)00198-9. Epub 2015 Sep 8.;;NCT00538850:Phase 3:Completed:Rauck R, Reynolds L, Geach J, Bull J, Stearns L, Scherlis M, Parikh N, Dillaha L. Efficacy and safety of fentanyl sublingual spray for the treatment of breakthrough cancer pain: a randomized, double-blind, placebo-controlled study. Curr Med Res Opin. 2012 May;28(5):859-70. doi: 10.1185/03007995.2012.683111. Epub 2012 May 2.;;NCT03515369:Phase 4:Not yet recruiting:No publish;;NCT03219372:Phase 2:Recruiting:No publish;;NCT03235167:Phase 1:Not yet recruiting:No publish;;NCT03062358:Phase 3:Recruiting:No publish;;NCT03024684:Phase 4:Recruiting:No publish;;NCT02799212:Phase 3:Recruiting:No publish;;NCT02702401:Phase 3:Active, not recruiting:No publish;;NCT03275376:Phase 2:Recruiting:No publish;;NCT02528643:Phase 2:Active, not recruiting:No publish;;NCT02329860:Phase 3:Active, not recruiting:No publish;;NCT02178358:Phase 2:Active, not recruiting:No publish;;NCT02128958:Phase 2:Recruiting:No publish;;NCT01774344:Phase 3:Active, not recruiting:Finn RS, Merle P, Granito A, Huang YH, Bodoky G, Pracht M, Yokosuka O, Rosmorduc O, Gerolami R, Caparello C, Cabrera R, Chang C, Sun W, LeBerre MA, Baumhauer A, Meinhardt G, Bruix J. Outcomes of sequential treatment with sorafenib followed by regorafenib for HCC: Additional analyses from the phase III RESORCE trial. J Hepatol. 2018 Aug;69(2):353-358. doi: 10.1016/j.jhep.2018.04.010. Epub 2018 Apr 26.;;NCT01755767:Phase 3:Completed:No publish;;NCT01507168:Phase 2:Completed:No publish;;NCT00080236:Phase 2:Completed:No publish;;NCT01287585:Phase 3:Completed:No publish;;NCT01258608:Phase 2:Completed:No publish;;NCT00988741:Phase 2:Completed:No publish;;NCT00901901:Phase 3:Completed:No publish;;NCT01265576:Phase 2:Unknown status:No publish;;NCT00858871:Phase 3:Completed:No publish;;NCT00855218:Phase 2:Completed:No publish;;NCT00805896:Phase 2:Unknown status:No publish;;NCT00492752:Phase 3:Completed:Cheng AL, Kang YK, Chen Z, Tsao CJ, Qin S, Kim JS, Luo R, Feng J, Ye S, Yang TS, Xu J, Sun Y, Liang H, Liu J, Wang J, Tak WY, Pan H, Burock K, Zou J, Voliotis D, Guan Z. Efficacy and safety of sorafenib in patients in the Asia-Pacific region with advanced hepatocellular carcinoma: a phase III randomised, double-blind, placebo-controlled trial. Lancet Oncol. 2009 Jan;10(1):25-34. doi: 10.1016/S1470-2045(08)70285-7. Epub 2008 Dec 16.;;NCT01070355:Phase 2:Completed:No publish
jx-594	NCT01171651:Phase 2:Completed:No publish
cudc-101	NCT01171924:Phase 1:Completed:No publish
cc-223	NCT01177397:Phase 1|Phase 2:Completed:No publish
maa	NCT01186263:Phase 2:Completed:No publish
diagnostic	NCT01186263:Phase 2:Completed:No publish
bay86-9766	NCT01204177:Phase 2:Completed:No publish
[f-18]	NCT01213030:Phase 1|Phase 2:Completed:No publish;;NCT01213030:Phase 1|Phase 2:Completed:No publish;;NCT00884520:Early Phase 1:Completed:No publish
dovitinib	NCT01232296:Phase 2:Completed:No publish
cinobufacin	NCT01236690:Phase 2:Unknown status:No publish
torisel	NCT01251458:Phase 1|Phase 2:Completed:No publish
mapatumumab	NCT01258608:Phase 2:Completed:No publish
panitumumab,	NCT01260415:Phase 2:Completed:No publish
clevudine,	NCT01263002:Phase 4:Completed:No publish
bavituximab	NCT01264705:Phase 1|Phase 2:Unknown status:No publish;;NCT03519997:Phase 2:Recruiting:No publish
vt-122	NCT01265576:Phase 2:Unknown status:No publish
ag-013736	NCT01273662:Phase 2:Completed:No publish
propranolol	NCT01298284:Phase 4:Unknown status:No publish;;NCT01970748:Phase 4:Unknown status:No publish;;NCT01451658:Phase 4:Unknown status:No publish
trc	NCT01306058:Phase 1|Phase 2:Completed:No publish
sb	NCT01308645:Phase 2:Unknown status:No publish
ro5323441	NCT01308723:Phase 1:Completed:No publish
cetuximab;	NCT01322178:Phase 2:Unknown status:No publish
doxorubicin-eluting	NCT01324076:Phase 3:Unknown status:No publish;;NCT01004978:Phase 3:Active, not recruiting:No publish
axitinib	NCT01334112:Phase 2:Active, not recruiting:No publish;;NCT03289533:Phase 1:Recruiting:No publish;;NCT01352728:Phase 2:Completed:No publish
paclitaxel	NCT01347424:Phase 2:Unknown status:No publish;;NCT01347424:Phase 2:Unknown status:No publish;;NCT00002854:Phase 1:Completed:No publish;;NCT01953926:Phase 2:Recruiting:No publish;;NCT00508326:Phase 1:Completed:No publish
dendritic	NCT01348256:Phase 2:Recruiting:No publish
other	NCT01348412:Phase 2:Completed:No publish
pd-0332991	NCT01356628:Phase 2:Active, not recruiting:No publish
m-tor	NCT01374750:Phase 2:Completed:No publish
trc105	NCT01375569:Phase 2:Completed:No publish;;NCT02560779:Phase 1|Phase 2:Recruiting:No publish
11c-choline	NCT01377220:Phase 2:Unknown status:No publish
tace-deb	NCT01381211:Phase 2:Unknown status:No publish
90y-re	NCT01381211:Phase 2:Unknown status:No publish
folic	NCT01384994:Phase 2:Unknown status:No publish
panitumumab	NCT01384994:Phase 2:Unknown status:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT01226719:Phase 2:Completed:No publish;;NCT02885753:Phase 3:Recruiting:No publish;;NCT03069950:Phase 2:Recruiting:No publish
oxaliplatin,	NCT01387295:Phase 2:Unknown status:No publish;;NCT01387373:Phase 2:Unknown status:No publish;;NCT03164655:Phase 2:Not yet recruiting:No publish
n-acetylcystein	NCT01394497:Phase 2:Completed:D'Amico F, Vitale A, Piovan D, Bertacco A, Ramirez Morales R, Chiara Frigo A, Bassi D, Bonsignore P, Gringeri E, Valmasoni M, Garbo G, Lodo E, D'Amico FE, Scopelliti M, Carraro A, Gambato M, Brolese A, Zanus G, Neri D, Cillo U. Use of N-acetylcysteine during liver procurement: a prospective randomized controlled study. Liver Transpl. 2013 Feb;19(2):135-44. doi: 10.1002/lt.23527. Epub 2012 Sep 26.
18f-fluoromethylcholine	NCT01395030:Phase 2:Active, not recruiting:No publish
opb-31121	NCT01406574:Phase 1|Phase 2:Completed:No publish;;NCT01406574:Phase 1|Phase 2:Completed:No publish
nhs-il-12	NCT01417546:Phase 1:Recruiting:No publish
akt	NCT01425879:Phase 2:Completed:No publish
sox	NCT01429961:Phase 2:Unknown status:No publish
trabectedin	NCT01453283:Phase 1:Completed:No publish
177lu-dota-tate	NCT01456078:Phase 2:Recruiting:No publish
pasireotide	NCT01469572:Phase 1:Active, not recruiting:No publish;;NCT01488487:Phase 2:Completed:No publish
sir-sphere	NCT01482442:Phase 3:Completed:No publish
tyroserleutide	NCT01489566:Phase 3:Unknown status:No publish
the	NCT01489566:Phase 3:Unknown status:No publish
hypoxia-activated	NCT01497444:Phase 1:Active, not recruiting:No publish
medi-573	NCT01498952:Phase 1:Completed:No publish
ro5137382	NCT01507168:Phase 2:Completed:No publish
activated	NCT01562821:Phase 2:Completed:Shao YF, Yang JM, Chau GY, Sirivatanauksorn Y, Zhong SX, Erhardtsen E, Nivatvongs S, Lee PH. Safety and hemostatic effect of recombinant activated factor VII in cirrhotic patients undergoing partial hepatectomy: a multicenter, randomized, double-blind, placebo-controlled trial. Am J Surg. 2006 Feb;191(2):245-9.
gadoxetic	NCT01575574:Phase 4:Completed:No publish
