Drugname	NCIDS:Phase:Status:Literature	Targets
erlotinib (tarceva)	NCT00605722:Phase 2:Completed:No publish;;NCT00901901:Phase 3:Completed:No publish	html not right
dasatinib	NCT00608361:Phase 1:Completed:No publish;;NCT02465060:Phase 2:Recruiting:No publish	Html not right
5% dextrose solution	NCT00617981:Phase 3:Completed:No publish	html not right
infusional 5-fluorouracil	NCT00619541:Phase 2:Completed:No publish	html not right
sorafenib (bay 43-9006)	NCT00619541:Phase 2:Completed:No publish	html not right
neoadjuvant chemotherapy with oxaliplatin and capecitabine	NCT00630045:Phase 3:Unknown status:No publish	html not right
pegylated interferon alpha 2a and plus ribavirin	NCT00630084:Phase 4:Completed:No publish	html not right
irinotecan plus capecitabine	NCT00635323:Phase 2:Completed:No publish	html not right
sodium thiosulfate	NCT00652132:Phase 3:Completed:No publish;;NCT00716976:Phase 3:Completed:No publish	html not right
neo-adjuvant treatment with bevacizumab	NCT00659022:Phase 2:Unknown status:No publish	html not right
neoadjuvant treatment with capecitabine and oxaliplatin	NCT00659022:Phase 2:Unknown status:No publish	html not right
neo-adjuvant treatment with bevacizumab, capecitabine and oxaliplatin	NCT00659022:Phase 2:Unknown status:No publish	html not right
gm-csf	NCT00661622:Phase 2:Completed:No publish	html not right
bupropion hydrochloride	NCT00666978:Phase 4:Completed:No publish;;NCT00534001:Phase 2:Completed:No publish	html not right
pazopanib (gw786034)(gw786034)	NCT00674024:Phase 1:Completed:No publish	html not right
nexavar (sorafenib, bay43-9006)	NCT00692770:Phase 3:Completed:Bruix J, Takayama T, Mazzaferro V, Chau GY, Yang J, Kudo M, Cai J, Poon RT, Han KH, Tak WY, Lee HC, Song T, Roayaie S, Bolondi L, Lee KS, Makuuchi M, Souza F, Berre MA, Meinhardt G, Llovet JM; STORM investigators. Adjuvant sorafenib for hepatocellular carcinoma after resection or ablation (STORM): a phase 3, randomised, double-blind, placebo-controlled trial. Lancet Oncol. 2015 Oct;16(13):1344-54. doi: 10.1016/S1470-2045(15)00198-9. Epub 2015 Sep 8.	html not right
sorafenib and gemcitabine	NCT00703365:Phase 2:Completed:No publish	html not right
infusion of opioid growth factor	NCT00706576:Phase 1:Completed:No publish	html not right
ms-20	NCT00707681:Phase 2:Unknown status:No publish	html not right
lenalidomide	NCT00717756:Phase 2:Completed:Safran H, Charpentier KP, Kaubisch A, Mantripragada K, Dubel G, Perez K, Faricy-Anderson K, Miner T, Eng Y, Victor J, Plette A, Espat J, Bakalarski P, Wingate P, Berz D, Luppe D, Martel D, Rosati K, Aparo S. Lenalidomide for second-line treatment of advanced hepatocellular cancer: a Brown University oncology group phase II study. Am J Clin Oncol. 2015 Feb;38(1):1-4. doi: 10.1097/COC.0b013e3182868c66.;;NCT01545804:Phase 2:Completed:No publish	html not right
z-208	NCT00731445:Phase 1|Phase 2:Completed:No publish	html not right
hai abraxane	NCT00732836:Phase 1:Completed:No publish	html not right
iv abraxane	NCT00732836:Phase 1:Completed:No publish	html not right
disulfiram	NCT00742911:Phase 1:Completed:No publish	html not right
copper gluconate	NCT00742911:Phase 1:Completed:No publish	html not right
folfox6/cetuximab	NCT00743678:Phase 2:Completed:No publish	html not right
gc33	NCT00746317:Phase 1:Completed:No publish	html not right
sorafenib with capecitabine and oxaliplatin	NCT00752063:Phase 2:Unknown status:No publish	html not right
imatinib mesylate	NCT00764595:Phase 2:Completed:No publish;;NCT00025415:Phase 1:Completed:No publish	html not right
antiviral treatment (lamivudine or entecavir)	NCT00768157:Phase 4:Unknown status:No publish	html not right
everolimus, bevacizumab	NCT00775073:Phase 2:Completed:No publish	html not right
orantinib (tsu-68)	NCT00784290:Phase 1|Phase 2:Completed:No publish	html not right
sonovue-enhanced ultrasound	NCT00788697:Phase 3:Completed:No publish	html not right
cf102	NCT00790218:Phase 1|Phase 2:Completed:No publish;;NCT02128958:Phase 2:Recruiting:No publish	html not right
songyou	NCT00805896:Phase 2:Unknown status:No publish	html not right
sunitinib added to folfiri	NCT00806663:Phase 2:Completed:No publish	html not right
licartin (generic name,[131i]metuximab injection)	NCT00819650:Phase 2:Completed:No publish	html not right
epirubicin and lipiodol	NCT00820053:Phase 2:Completed:No publish	html not right
sorafenib + lbh589	NCT00823290:Phase 1:Unknown status:No publish	html not right
brivanib	NCT00825955:Phase 3:Completed:No publish;;NCT00437424:Phase 1:Completed:No publish;;NCT01540461:Phase 1:Completed:No publish;;NCT00908752:Phase 3:Completed:No publish;;NCT00858871:Phase 3:Completed:No publish	Html not right
lmwh	NCT00827554:Phase 2|Phase 3:Completed:No publish;;NCT02715492:Phase 3:Not yet recruiting:No publish	html not right
sonovue®	NCT00829413:Phase 3:Completed:No publish	html not right
licartin	NCT00829465:Phase 4:Completed:No publish	html not right
peginterferon alpha-2a and ribavirin	NCT00834860:Phase 4:Unknown status:No publish	html not right
epirubicin	NCT00843934:Phase 2|Phase 3:Unknown status:No publish;;NCT02631499:Phase 4:Not yet recruiting:No publish	html not right
adenosine	NCT00845689:Phase 1|Phase 2:Unknown status:No publish	html not right
yttrium-90 (y-90)	NCT00846131:Phase 1:Completed:Kulik L, Vouche M, Koppe S, Lewandowski RJ, Mulcahy MF, Ganger D, Habib A, Karp J, Al-Saden P, Lacouture M, Cotliar J, Abecassis M, Baker T, Salem R. Prospective randomized pilot study of Y90+/-sorafenib as bridge to transplantation in hepatocellular carcinoma. J Hepatol. 2014 Aug;61(2):309-17. doi: 10.1016/j.jhep.2014.03.023. Epub 2014 Mar 27.	html not right
chemotherapy with endostar	NCT00849264:Phase 2:Completed:No publish	html not right
treatment with cbp and 5-fu	NCT00849264:Phase 2:Completed:No publish	html not right
treatment with endostar, cbp and 5-fu	NCT00849264:Phase 2:Completed:No publish	html not right
iv cetuximab	NCT00852228:Phase 2:Unknown status:No publish	html not right
hai chronomodulated chemotherapy	NCT00852228:Phase 2:Unknown status:No publish	html not right
hai conventional chemotherapy	NCT00852228:Phase 2:Unknown status:No publish	html not right
irinotecan and on 01910.na	NCT00861783:Phase 1:Completed:Jimeno A, Chan A, Cusatis G, Zhang X, Wheelhouse J, Solomon A, Chan F, Zhao M, Cosenza SC, Ramana Reddy MV, Rudek MA, Kulesza P, Donehower RC, Reddy EP, Hidalgo M. Evaluation of the novel mitotic modulator ON 01910.Na in pancreatic cancer and preclinical development of an ex vivo predictive assay. Oncogene. 2009 Jan 29;28(4):610-8. doi: 10.1038/onc.2008.424. Epub 2008 Nov 24.	html not right
oxaliplatin and on 01910.na	NCT00861783:Phase 1:Completed:Jimeno A, Chan A, Cusatis G, Zhang X, Wheelhouse J, Solomon A, Chan F, Zhao M, Cosenza SC, Ramana Reddy MV, Rudek MA, Kulesza P, Donehower RC, Reddy EP, Hidalgo M. Evaluation of the novel mitotic modulator ON 01910.Na in pancreatic cancer and preclinical development of an ex vivo predictive assay. Oncogene. 2009 Jan 29;28(4):610-8. doi: 10.1038/onc.2008.424. Epub 2008 Nov 24.	html not right
adecatumumab	NCT00866944:Phase 2:Completed:No publish	html not right
adecatumumab and folfox	NCT00866944:Phase 2:Completed:No publish	html not right
folfox 4	NCT00866944:Phase 2:Completed:No publish	html not right
sorafenib tosylate	NCT00867321:Phase 1|Phase 2:Completed:No publish;;NCT01324076:Phase 3:Unknown status:No publish;;NCT01182272:Phase 2:Unknown status:No publish;;NCT01075113:Phase 1:Active, not recruiting:No publish;;NCT01005199:Phase 2:Completed:No publish;;NCT00881751:Phase 2:Completed:No publish;;NCT01011010:Phase 1:Completed:No publish;;NCT01075555:Phase 3:Completed:No publish;;NCT00941967:Phase 2:Unknown status:No publish;;NCT01497444:Phase 1:Active, not recruiting:No publish;;NCT01042041:Phase 1:Completed:No publish;;NCT01624285:Phase 2:Active, not recruiting:No publish;;NCT00844168:Phase 1:Completed:No publish;;NCT01008566:Phase 1:Completed:No publish;;NCT03211416:Phase 1|Phase 2:Recruiting:No publish;;NCT01666756:Phase 1:Active, not recruiting:No publish;;NCT01502410:Phase 2:Completed:No publish;;NCT01004978:Phase 3:Active, not recruiting:No publish;;NCT01015833:Phase 3:Active, not recruiting:No publish	html not right
amg 386	NCT00872014:Phase 2:Completed:No publish	html not right
tac + folfox4	NCT00874406:Phase 4:Unknown status:No publish	html not right
lc bead loaded with doxorubicin	NCT00877071:Phase 2:Completed:No publish	html not right
erlotinib hydrochloride	NCT00881751:Phase 2:Completed:No publish;;NCT00365391:Phase 2:Completed:No publish;;NCT00047346:Phase 1:Completed:No publish;;NCT02273362:Phase 1|Phase 2:Recruiting:No publish;;NCT00987766:Phase 1:Completed:No publish;;NCT00033462:Phase 2:Completed:No publish;;NCT00397384:Phase 1:Completed:No publish;;NCT00030498:Phase 1:Completed:No publish	html not right
aln-vsp02	NCT00882180:Phase 1:Completed:No publish	html not right
aeg35156 antisense iv infusion	NCT00882869:Phase 1|Phase 2:Completed:No publish	html not right
[f-18] vm4-037	NCT00884520:Early Phase 1:Completed:No publish	html not right
panitumumab+folfox-4	NCT00885885:Phase 2:Completed:No publish	html not right
panitumumab+folfiri	NCT00885885:Phase 2:Completed:No publish	html not right
foretinib	NCT00920192:Phase 1:Completed:No publish	html not right
fostamatinib disodium	NCT00923481:Phase 2:Completed:No publish	html not right
sorafenib, cisplatin, fluorouracil	NCT00933816:Phase 1|Phase 2:Completed:No publish	html not right
gemcitabine hydrochloride	NCT00941967:Phase 2:Unknown status:No publish;;NCT00006010:Phase 2:Completed:Alberts SR, Reid JM, Morlan BW, Farr GH Jr, Camoriano JK, Johnson DB, Enger JR, Seay TE, Kim GP. Gemcitabine and docetaxel for hepatocellular carcinoma: a phase II North Central Cancer Treatment Group clinical trial. Am J Clin Oncol. 2012 Oct;35(5):418-23.;;NCT00304135:Phase 2|Phase 3:Completed:Phelip JM, Vendrely V, Rostain F, Subtil F, Jouve JL, Gasmi M, Michel P, Le Malicot K, Smith D, Seitz JF, Fauchart JP, Martin P, Bennouna J, Morin T, Bonnet I, Maingon P, Lepage C, Chauffert B. Gemcitabine plus cisplatin versus chemoradiotherapy in locally advanced biliary tract cancer: F��d��ration Francophone de Canc��rologie Digestive 9902 phase II randomised study. Eur J Cancer. 2014 Nov;50(17):2975-82. doi: 10.1016/j.ejca.2014.08.013. Epub 2014 Sep 17.;;NCT00059865:Phase 1|Phase 2:Completed:Alberts SR, Sande JR, Foster NR, Quevedo FJ, McWilliams RR, Kugler JW, Fitch TR, Jaslowski AJ. Pemetrexed and gemcitabine for biliary tract and gallbladder carcinomas: a North Central Cancer Treatment Group (NCCTG) phase I and II Trial, N9943. J Gastrointest Cancer. 2007;38(2-4):87-94. doi: 10.1007/s12029-008-9037-8. Epub 2008 Nov 21.;;NCT00009893:Phase 2:Completed:Alberts SR, Al-Khatib H, Mahoney MR, Burgart L, Cera PJ, Flynn PJ, Finch TR, Levitt R, Windschitl HE, Knost JA, Tschetter LK. Gemcitabine, 5-fluorouracil, and leucovorin in advanced biliary tract and gallbladder carcinoma: a North Central Cancer Treatment Group phase II trial. Cancer. 2005 Jan 1;103(1):111-8.;;NCT01313377:Phase 3:Completed:No publish;;NCT00987766:Phase 1:Completed:No publish;;NCT00019513:Phase 1:Completed:No publish	html not right
oxaliplatin	NCT00941967:Phase 2:Unknown status:No publish;;NCT00483405:Phase 2:Completed:Sanoff HK, Bernard S, Goldberg RM, Morse MA, Garcia R, Woods L, Moore DT, O'Neil BH. Phase II Study of Capecitabine, Oxaliplatin, and Cetuximab for Advanced Hepatocellular Carcinoma. Gastrointest Cancer Res. 2011 May;4(3):78-83.;;NCT00471484:Phase 2:Unknown status:Ang MK, Poon D, Foo KF, Chung YF, Chow P, Wan WK, Thng CH, Ooi L. A new chemoimmunotherapy regimen (OXAFI) for advanced hepatocellular carcinoma. Hematol Oncol Stem Cell Ther. 2008 Jul-Sep;1(3):159-65.;;NCT00052364:Phase 2:Completed:No publish;;NCT00507585:Phase 1:Completed:No publish;;NCT00980239:Phase 1:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT01775501:Phase 2:Active, not recruiting:No publish;;NCT00304135:Phase 2|Phase 3:Completed:Phelip JM, Vendrely V, Rostain F, Subtil F, Jouve JL, Gasmi M, Michel P, Le Malicot K, Smith D, Seitz JF, Fauchart JP, Martin P, Bennouna J, Morin T, Bonnet I, Maingon P, Lepage C, Chauffert B. Gemcitabine plus cisplatin versus chemoradiotherapy in locally advanced biliary tract cancer: F��d��ration Francophone de Canc��rologie Digestive 9902 phase II randomised study. Eur J Cancer. 2014 Nov;50(17):2975-82. doi: 10.1016/j.ejca.2014.08.013. Epub 2014 Sep 17.;;NCT01525069:Phase 1:Recruiting:No publish;;NCT01313377:Phase 3:Completed:No publish;;NCT00103298:Phase 2:Completed:No publish;;NCT00987766:Phase 1:Completed:No publish;;NCT00003427:Phase 1:Completed:Kemeny N, Tong W, Gonen M, Stockman J, Di Lauro C, Teitcher J, White P, Price C, Saltz L, Sharma S, Graham MA. Phase I study of weekly oxaliplatin plus irinotecan in previously treated patients with metastatic colorectal cancer. Ann Oncol. 2002 Sep;13(9):1490-6.;;NCT01042691:Phase 1:Completed:No publish;;NCT01643499:Phase 1:Active, not recruiting:No publish;;NCT03493048:Phase 2:Recruiting:No publish;;NCT03493061:Phase 2:Recruiting:No publish;;NCT01511146:Phase 2:Unknown status:No publish;;NCT01384994:Phase 2:Unknown status:No publish;;NCT03500874:Phase 3:Recruiting:No publish;;NCT01959061:Phase 4:Recruiting:No publish;;NCT00557557:Phase 1:Completed:No publish;;NCT00101270:Phase 1:Completed:No publish;;NCT00091182:Phase 2:Completed:No publish;;NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT01348412:Phase 2:Completed:No publish;;NCT00156975:Phase 3:Unknown status:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT00274885:Phase 4:Unknown status:No publish;;NCT00005860:Phase 1:Completed:No publish;;NCT02129322:Phase 2:Not yet recruiting:No publish;;NCT03017326:Phase 3:Recruiting:No publish;;NCT03578874:Phase 2:Recruiting:No publish;;NCT02716766:Phase 2:Recruiting:No publish;;NCT02426450:Phase 2:Unknown status:No publish;;NCT00559455:Phase 2:Completed:No publish;;NCT00280618:Phase 2:Completed:No publish;;NCT00142467:Phase 2:Completed:No publish;;NCT00941655:Phase 3:Completed:Rudloff U, Langan RC, Mullinax JE, Beane JD, Steinberg SM, Beresnev T, Webb CC, Walker M, Toomey MA, Schrump D, Pandalai P, Stojadinovic A, Avital I. Impact of maximal cytoreductive surgery plus regional heated intraperitoneal chemotherapy (HIPEC) on outcome of patients with peritoneal carcinomatosis of gastric origin: results of the GYMSSA trial. J Surg Oncol. 2014 Sep;110(3):275-84. doi: 10.1002/jso.23633. Epub 2014 Jul 5.;;NCT00408551:Phase 2:Unknown status:No publish;;NCT00438737:Phase 2:Unknown status:No publish;;NCT01226719:Phase 2:Completed:No publish;;NCT00803647:Phase 2:Completed:No publish;;NCT00005077:Phase 1:Completed:No publish;;NCT00006479:Phase 3:Unknown status:Benoist S, Nordlinger B. The role of preoperative chemotherapy in patients with resectable colorectal liver metastases. Ann Surg Oncol. 2009 Sep;16(9):2385-90. doi: 10.1245/s10434-009-0492-7. Epub 2009 Jun 25. Review.;;NCT01022541:Phase 2:Completed:No publish;;NCT00482222:Phase 3:Unknown status:No publish;;NCT00513266:Phase 2:Unknown status:No publish;;NCT00003834:Phase 2:Completed:Alberts SR, Horvath WL, Sternfeld WC, Goldberg RM, Mahoney MR, Dakhil SR, Levitt R, Rowland K, Nair S, Sargent DJ, Donohue JH. Oxaliplatin, fluorouracil, and leucovorin for patients with unresectable liver-only metastases from colorectal cancer: a North Central Cancer Treatment Group phase II study. J Clin Oncol. 2005 Dec 20;23(36):9243-9. Epub 2005 Oct 17.;;NCT00006062:Phase 1:Completed:No publish;;NCT00006050:Phase 2:Unknown status:Ducreux M, Ychou M, Laplanche A, Gamelin E, Lasser P, Husseini F, Quenet F, Viret F, Jacob JH, Boige V, Elias D, Delperro JR, Luboinski M; gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. Hepatic arterial oxaliplatin infusion plus intravenous chemotherapy in colorectal cancer with inoperable hepatic metastases: a trial of the gastrointestinal group of the Federation Nationale des Centres de Lutte Contre le Cancer. J Clin Oncol. 2005 Aug 1;23(22):4881-7. Epub 2005 Jul 11.;;NCT01802645:Phase 2:Recruiting:No publish;;NCT00544349:Phase 2:Completed:No publish;;NCT00008294:Phase 1:Completed:Kemeny N, Capanu M, D'Angelica M, Jarnagin W, Haviland D, Dematteo R, Fong Y. Phase I trial of adjuvant hepatic arterial infusion (HAI) with floxuridine (FUDR) and dexamethasone plus systemic oxaliplatin, 5-fluorouracil and leucovorin in patients with resected liver metastases from colorectal cancer. Ann Oncol. 2009 Jul;20(7):1236-41. doi: 10.1093/annonc/mdn769. Epub 2009 Feb 20.;;NCT00492999:Phase 2:Active, not recruiting:No publish;;NCT00026234:Phase 2:Completed:No publish;;NCT00056030:Phase 2:Completed:No publish	html not right
4sc-201	NCT00943449:Phase 2:Completed:No publish	html not right
e7080	NCT00946153:Phase 1|Phase 2:Completed:No publish	No target
sorafenib tosylate, hace : doxorubicin hydrochloride and mitomycin c	NCT00949182:Phase 2:Completed:No publish	html not right
biib022	NCT00956436:Phase 1:Completed:No publish	html not right
adefovir	NCT00960518:Phase 2:Unknown status:No publish	html not right
combretastatin a1 diphosphate (oxi4503)	NCT00960557:Phase 1:Completed:No publish	html not right
gc33(ro5137382)	NCT00976170:Phase 1:Completed:No publish	html not right
cetuximab	NCT00980239:Phase 1:Completed:No publish;;NCT01564810:Phase 4:Unknown status:No publish;;NCT00397384:Phase 1:Completed:No publish;;NCT03493048:Phase 2:Recruiting:No publish;;NCT00153998:Phase 2:Completed:No publish;;NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT03563170:Phase 1|Phase 2:Not yet recruiting:No publish;;NCT03319459:Phase 1:Recruiting:No publish;;NCT00142428:Phase 2:Completed:No publish;;NCT01836653:Phase 2:Completed:No publish;;NCT01802645:Phase 2:Recruiting:No publish	No target
irinotecan	NCT00980239:Phase 1:Completed:No publish;;NCT03533582:Phase 2|Phase 3:Recruiting:No publish;;NCT03493048:Phase 2:Recruiting:No publish;;NCT03493061:Phase 2:Recruiting:No publish;;NCT01442935:Phase 2:Active, not recruiting:No publish;;NCT03366155:Phase 2:Not yet recruiting:No publish;;NCT03017326:Phase 3:Recruiting:No publish;;NCT00941655:Phase 3:Completed:Rudloff U, Langan RC, Mullinax JE, Beane JD, Steinberg SM, Beresnev T, Webb CC, Walker M, Toomey MA, Schrump D, Pandalai P, Stojadinovic A, Avital I. Impact of maximal cytoreductive surgery plus regional heated intraperitoneal chemotherapy (HIPEC) on outcome of patients with peritoneal carcinomatosis of gastric origin: results of the GYMSSA trial. J Surg Oncol. 2014 Sep;110(3):275-84. doi: 10.1002/jso.23633. Epub 2014 Jul 5.;;NCT01226719:Phase 2:Completed:No publish;;NCT01802645:Phase 2:Recruiting:No publish;;NCT00037804:Phase 1:Completed:No publish	html not right
temsirolimus	NCT00980460:Phase 3:Active, not recruiting:No publish;;NCT01010126:Phase 2:Completed:No publish;;NCT01687673:Phase 2:Active, not recruiting:No publish;;NCT01567930:Phase 2:Unknown status:No publish	No target
pv-10 (10% rose bengal disodium)	NCT00986661:Phase 1:Recruiting:No publish	html not right
capecitabine plus oxaliplatin	NCT00997685:Phase 2:Unknown status:No publish	html not right
azd8055	NCT00999882:Phase 1:Completed:No publish	No target
bay73-4506	NCT01003015:Phase 2:Completed:Bruix J, Tak WY, Gasbarrini A, Santoro A, Colombo M, Lim HY, Mazzaferro V, Wiest R, Reig M, Wagner A, Bolondi L. Regorafenib as second-line therapy for intermediate or advanced hepatocellular carcinoma: multicentre, open-label, phase II safety study. Eur J Cancer. 2013 Nov;49(16):3412-9. doi: 10.1016/j.ejca.2013.05.028. Epub 2013 Jun 25.	html not right
bibf 1120	NCT01004003:Phase 2:Completed:No publish;;NCT00987935:Phase 2:Completed:No publish	html not right
everolimus	NCT01005199:Phase 2:Completed:No publish;;NCT01642186:Phase 2:Active, not recruiting:No publish;;NCT02081755:Phase 4:Recruiting:No publish;;NCT01423708:Phase 2:Unknown status:No publish;;NCT01469572:Phase 1:Active, not recruiting:No publish;;NCT01488487:Phase 2:Completed:No publish;;NCT01035229:Phase 3:Completed:No publish	html not right
sorafenib with temsirolimus	NCT01008917:Phase 1:Completed:No publish	html not right
mitomycin c	NCT01011010:Phase 1:Completed:No publish;;NCT01042041:Phase 1:Completed:No publish;;NCT00023868:Phase 3:Completed:No publish	html not right
cs-1008	NCT01033240:Phase 2:Completed:No publish	html not right
everolimus placebo	NCT01035229:Phase 3:Completed:No publish	html not right
foflox4	NCT01035385:Phase 3:Unknown status:No publish	html not right
idarubicin	NCT01040559:Phase 1:Completed:No publish	No target
fluorouracil implants	NCT01055743:Phase 2:Unknown status:No publish	html not right
eicosapentaenoic acid free fatty acid	NCT01070355:Phase 2:Completed:No publish	html not right
vorinostat	NCT01075113:Phase 1:Active, not recruiting:No publish;;NCT00537121:Phase 1:Completed:No publish	html not right
[f 18]hx4	NCT01075399:Phase 2:Completed:No publish	html not right
pravastatin sodium	NCT01075555:Phase 3:Completed:No publish	html not right
adjuvant group	NCT01088581:Phase 3:Completed:No publish	html not right
sorafenib (nexavar, bay43-9006) sorafenib (nexavar, bay43-9006) + nerison fatty ointment sorafenib (nexavar, bay43-9006)+neribas fatty ointment	NCT01098760:Phase 4:Completed:No publish	html not right
telbivudine	NCT01102335:Phase 4:Unknown status:No publish	html not right
doxorubicin, superabsorbent polymer microspheres, embolotherapy	NCT01116635:Phase 1|Phase 2:Completed:No publish	html not right
ezn-2968	NCT01120288:Phase 1:Completed:No publish	html not right
188re-sss lipiodol	NCT01126463:Phase 1:Recruiting:No publish	html not right
silybin	NCT01129570:Phase 1:Completed:No publish	html not right
sorafenib, ts-1	NCT01131689:Phase 1:Completed:No publish	html not right
pentoxifylline	NCT01149304:Phase 2:Completed:Seidensticker M, Seidensticker R, Damm R, Mohnike K, Pech M, Sangro B, Hass P, Wust P, Kropf S, Gademann G, Ricke J. Prospective randomized trial of enoxaparin, pentoxifylline and ursodeoxycholic acid for prevention of radiation-induced liver toxicity. PLoS One. 2014 Nov 13;9(11):e112731. doi: 10.1371/journal.pone.0112731. eCollection 2014.	html not right
ursodeoxycholic acid	NCT01149304:Phase 2:Completed:Seidensticker M, Seidensticker R, Damm R, Mohnike K, Pech M, Sangro B, Hass P, Wust P, Kropf S, Gademann G, Ricke J. Prospective randomized trial of enoxaparin, pentoxifylline and ursodeoxycholic acid for prevention of radiation-induced liver toxicity. PLoS One. 2014 Nov 13;9(11):e112731. doi: 10.1371/journal.pone.0112731. eCollection 2014.	html not right
enoxaparin	NCT01149304:Phase 2:Completed:Seidensticker M, Seidensticker R, Damm R, Mohnike K, Pech M, Sangro B, Hass P, Wust P, Kropf S, Gademann G, Ricke J. Prospective randomized trial of enoxaparin, pentoxifylline and ursodeoxycholic acid for prevention of radiation-induced liver toxicity. PLoS One. 2014 Nov 13;9(11):e112731. doi: 10.1371/journal.pone.0112731. eCollection 2014.	html not right
sunitinib malate	NCT01164202:Phase 2|Phase 3:Completed:No publish;;NCT00514228:Phase 2:Completed:Koeberle D, Montemurro M, Samaras P, Majno P, Simcock M, Limacher A, Lerch S, Kov��cs K, Inauen R, Hess V, Saletti P, Borner M, Roth A, Bodoky G. Continuous Sunitinib treatment in patients with advanced hepatocellular carcinoma: a Swiss Group for Clinical Cancer Research (SAKK) and Swiss Association for the Study of the Liver (SASL) multicenter phase II trial (SAKK 77/06). Oncologist. 2010;15(3):285-92. doi: 10.1634/theoncologist.2009-0316. Epub 2010 Mar 4.;;NCT02465060:Phase 2:Recruiting:No publish	html not right
