NCT Number	Status	Study Results	Interventions	Outcome Measures	Phases	URL
NCT02534337	Unknown status	No Results Available	Drug: GEMOX|Drug: FOLFOX4	Progression-Free-Survival|Objective response rate|Overall survival|Disease control rate|Time-to-Progression	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT02534337
NCT02527772	Active, not recruiting	No Results Available	Drug: Liposomal Doxorubicin+Gemcitabine|Drug: FOLFOX4	Progression-Free-Survival|Objective response rate|Overall survival|Disease control rate|Time-to-Progression	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT02527772
NCT02400788	Completed	No Results Available	Drug: Resminostat|Drug: Sorafenib	Phase 1 : Number of participants with dose limited toxicities as measure of safety and tolerability|Phase 2 : Time To Progression (TTP)	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT02400788
NCT02279719	Recruiting	No Results Available	Drug: BBI608|Drug: BBI503|Drug: Sorafenib	Determination of the Recommended Phase 2 Dose (RP2D) by assessing dose-limiting toxicities (DLTs) (Phase 1 portion)|Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Assessment of the preliminary anti-tumor activity by performing tumor assessments every 8 weeks (Phase 2 portion)|Pharmacokinetic profile of BBI608 or BBI503 when administered in combination with sorafenib as assessed by maximum plasma concentration and area under the curve|Pharmacodynamic activity of BBI608 or BBI503 when administered in combination with sorafenib as assessed by tumor biopsy and Cancer Stem Cell assays as well as the concentration of study drug in tumors	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT02279719
NCT02240771	Unknown status	No Results Available	Procedure: Transarterial chemotherapy|Drug: Oral chemotherapy	Survival rate-|Tumor response	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT02240771
NCT01271504	Completed	No Results Available	Drug: Sorafenib	Safety Parameters-Adverse Event (AEs)|Safety Parameter-Concomitant Meds|Safety Parameter- Clinical Laboratory Evaluations|Safety Parameter-ECGS|Safety Parameters-Vital signs|Safety Parameters- ECOG PS|Efficacy Parameter	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT01271504
NCT02645981	Recruiting	No Results Available	Drug: Donafenib|Drug: Sorafenib	Overall Survival|Progress Free Survival|Percentage of adverse events	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT02645981
NCT02024087	Completed	No Results Available	Drug: Dalantercept plus sorafenib	Number of participants with Adverse Events as a measure of safety and tolerability.|Progression free survival (PFS)|Overall survival (OS)|Time to progression (TTP)|Disease control rate (DCR)|PD biomarker activities (e.g., ALK1 expression on new or archived tumor biopsy tissue; BMP9/10 levels in serum)	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT02024087
NCT02013778	Recruiting	No Results Available	Drug: HCQ	Number of Adverse Events	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT02013778
NCT01906216	Recruiting	No Results Available	Drug: Sorafenib|Procedure: TACE	Overall survival|Time to progression|Tumor response|Adverse events	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT01906216
NCT00768937	Completed	No Results Available	Drug: Sorafenib|Procedure: Transarterial chemoembolisation (TACE)	Time to Progression (Efficacy)|Safety of Sorafenib in combination with TACE	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00768937
NCT01747642	Unknown status	No Results Available	Dietary Supplement: Oncoxin|Drug: Suranix	Number of patients who have prolonged survival|Reduction in serum alpha-fetoprotein level and decrease in tumor size	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT01747642
NCT02229071	Completed	No Results Available	Drug: Donafenib(200mg)|Drug: Donafenib(300mg)	Safety|Time to progression(TTP)	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT02229071
NCT00561522	Unknown status	No Results Available	Drug: Capecitabine|Other: No other preventive treatment	The primary end point was to determine the effect on disease-free survival and overall survival by oral capecitabine.|The secondary end point was to analyze the relationship between preventive effectiveness of capecitabine with thymidine phosphorylase expression level of tumor tissue.	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT00561522
NCT00882869	Completed	No Results Available	Drug: AEG35156 antisense IV infusion|Drug: Sorafenib	To determine the recommended dose of AEG35156 in combination with sorafenib patients with advanced HCC|To evaluate the efficacy of AEG35156 in combination with sorafenib based on PFS(PII) using sorafenib alone for comparison|To determine the safety profile of AEG35156 in combination with sorafenib in advanced HCC|To determine the response rate of AEG35156 in combination with sorafenib in advanced HCC	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00882869
NCT01438450	Unknown status	No Results Available	Drug: Oral|Other: Supportive	Survival|Tumour response|Number of patients with side effects|Quality of life|Change from baseline in Child status at 1 year	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT01438450
NCT01406574	Completed	Has Results	Drug: OPB-31121|Drug: OPB-31121 phase2	Subjects With Treatment Emergent Adverse Events|Number of Participants Who Experienced Dose-Limiting Toxicities (DLTs)|Best Overall Response	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT01406574
NCT00495846	Completed	No Results Available	Drug: Octreotide-LAR, Lanreotide Autogel|Other: Locoregional treatments	Prolongation of the survival curve (>6 months)|Improvement of liver function, Reduction of biological markers of disease (if elevated before starting the treatment)|Improvement of quality of life according with SF36 questionnaire	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT00495846
NCT02465060	Recruiting	No Results Available	Drug: Adavosertib|Drug: Afatinib|Drug: Binimetinib|Drug: Capivasertib|Drug: Crizotinib|Other: Cytology Specimen Collection Procedure|Drug: Dabrafenib|Drug: Dasatinib|Drug: Defactinib|Drug: FGFR Inhibitor AZD4547|Other: Laboratory Biomarker Analysis|Drug: Larotrectinib|Biological: Nivolumab|Drug: Osimertinib|Drug: Palbociclib|Biological: Pertuzumab|Drug: PI3K-beta Inhibitor GSK2636771|Drug: Sapanisertib|Drug: Sunitinib Malate|Drug: Taselisib|Drug: Trametinib|Biological: Trastuzumab|Biological: Trastuzumab Emtansine|Drug: Vismodegib	Objective response rate, defined as the percentage of patients whose tumors have a complete or partial response to treatment|Overall survival, evaluated specifically for each drug (or step)|Progression free survival|Time to progression	Phase 2	
NCT01116635	Completed	No Results Available	Drug: doxorubicin, superabsorbent polymer microspheres, embolotherapy	Histopathological correlation with surgically resected tumor|Dose limiting toxicities|serum doxorubicin release patter|maximum tolerated dose	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT01116635
NCT00946153	Completed	No Results Available	Drug: E7080	Dose-Escalation Component: To determine the MTD defined by dose-limiting toxicity (DLT) of E7080. Safety assessments based on adverse events, physical exams, and selected lab values.|Expansion Component: Time to progression.|Dose-Escalation Component: To evaluate the anti-tumor effect of E7080 using Response Evaluation Criteria in Solid Tumors (RECIST).|Expansion Component: Progression-free survival.|Expansion Component: Objective response rate.|Expansion Component: Disease control rate.|Expansion Component: Overall survival.	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00946153
NCT02129322	Not yet recruiting	No Results Available	Drug: Sorafenib|Drug: S-1|Drug: Oxaliplatin	Time to Recurrence (TTR)|Overall survival (OS)	Phase 2	https://ClinicalTrials.gov/show/NCT02129322
NCT03289533	Recruiting	No Results Available	Drug: Avelumab (MSB0010718C)|Drug: Axitinib (AG-013736)	Adverse events (AEs) and laboratory abnormalities as graded by National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) v. 4.03.|Time to Progression (TTP)|Overall Survival (OS)|Maximum plasma concentration (Cmax) of avelumab|Maximum plasma concentration (Cmax) of axitinib|Tumor tissue biomarker status (ie, positive or negative based on, for example, PD-L1 expression and/or quantitation of tumor infiltrating CD8+ T lymphocytes as assessed by immunohistochemistry [IHC]).|Anti drug antibodies (ADAs, neutralizing antibodies [nAbs]) for avelumab when in combination with axitinib.|Progression Free Survival (PFS)|Objective Response (OR)|Time to Tumor Response (TTR)|Duration of Response (DR)|Trough plasma concentration (Ctrough) of avelumab|Trough plasma concentration (Ctrough) of axitinib|Disease Control (DC)	Phase 1	https://ClinicalTrials.gov/show/NCT03289533
NCT03482102	Recruiting	No Results Available	Drug: Tremelimumab|Drug: Durvalumab|Radiation: Radiation	Best Overall Response rate|Number of Participants With Treatment Related Adverse Events|Overall Survival|Disease Control Rate|Progression Free Survival|Duration of Response|Time to Disease Progression	Phase 2	https://ClinicalTrials.gov/show/NCT03482102
NCT01251458	Completed	No Results Available	Drug: Torisel	• To establish the maximum tolerated dose (MTD) and a suitable dose for Phase II evaluation of Torisel® given as a weekly dose in patients with advanced hepatocellular carcinoma (HCC)|• To determine and establish the safety and toxicity profile of Torisel® and to identify any dose limiting toxicities (DLTs) in advanced HCC|• To determine progression-free survival (PFS) in patients with advanced hepatocellular carcinoma (HCC) treated with Torisel®|• To correlate stathmin expression in pre-treatment HCC tumour biopsies and clinical response to Torisel®|• To determine the response rate (CR and PR) based on RECIST criteria|• To determine clinical benefit rate (CBR, percent of patients experiencing CR, PR or SD ≥ 12 weeks)|• To determine duration of response (DR)|• To determine overall survival (OS)	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT01251458
NCT00843934	Unknown status	No Results Available	Drug: epirubicin|Drug: Cisplatin	response rate	Phase 2|Phase 3	https://ClinicalTrials.gov/show/NCT00843934
NCT00784290	Completed	No Results Available	Drug: Orantinib (TSU-68)	Step 1(Phase I) Safety|Step 2(Phase II) Response rate(RR)|Step 1(Phase I) Response rate(RR)|Step 2(Phase II) Safety	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00784290
NCT00731445	Completed	No Results Available	Drug: Z-208	Phase I: Determine the maximum tolerated dose (MTD) of Z-208 in patients with advanced hepatocellular carcinoma|Phase II : Assess the objective tumor response rate in patients according to Response Evaluation Criteria in Solid Tumors (RECIST) criteria|Phase I : Assess the objective tumor response rate in patients according to Response Evaluation Criteria in Solid Tumors (RECIST) criteria|Phase I : Determine the pharmacokinetics of this drug in these patients|Phase I : Determine the adverse effects profile of this drug in these patients|Phase II: Determine the PFS	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00731445
NCT00712790	Completed	No Results Available	Drug: Sorafenib|Radiation: SIR-Spheres	Toxicity and safety|Tumour response rate (liver ± any site).|Progression free survival at any site.|Progression free survival in the liver.|Survival|Hepatic and extra-hepatic recurrence rate.|Quality of life.|Rate of downstaging to surgical resection or ablative therapy.	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00712790
NCT00933816	Completed	No Results Available	Drug: sorafenib, cisplatin, fluorouracil	Dose limiting toxicity in phase I and Time to progression in Phase II|Phase I and II: Overall survival (OS)|Phase I and II: Progression free survival (PFS)|Phase I: Time to progression (TTP)|Phase I and II: Response Rate (RR)|Phase I and II: Adverse effect (AE)	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00933816
NCT00819650	Completed	No Results Available	Drug: Licartin (generic name,[131I]metuximab injection)	Overall survival|Time to recurrence	Phase 2	https://ClinicalTrials.gov/show/NCT00819650
NCT00820053	Completed	No Results Available	Drug: epirubicin and lipiodol	Overall survival|Time to recurrence	Phase 2	https://ClinicalTrials.gov/show/NCT00820053
NCT00390195	Unknown status	No Results Available	Drug: RAD001 (everolimus)	Maximum tolerated dose in Phase I|Disease control rate in Phase II|Angiogenic factors|Pharmacokinetics|Pharmacogenetics|Pharmacodynamics|Overall survival|Time to tumor progression|Tumor marker	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00390195
NCT03044587	Recruiting	No Results Available	Drug: Arm NaI-IRI + 5-FU + Leucovorin (Arm A)|Drug: Arm Cisplatin + Gemcitabine (Arm B)	Progression-free survival [PFS]|Overall progression free survival according to RECIST 1.1|3-years overall survival|Disease control rate according to RECIST 1.1|Objective tumor response rate (ORR) according to RECIST 1.1|Toxicity/Safety according to CTC-AE-criteria|Health related quality of life|Retrospective correlation of resectability in accordance with a central surgical board compared to local surgical review|Retrospective central radiological review	Phase 2	https://ClinicalTrials.gov/show/NCT03044587
NCT00155272	Unknown status	No Results Available	Drug: Thalidomide	The primary endpoint is the feasibility and tolerability of thalidomide plus radiotherapy.|The secondary end point is correlation of parameters of tumor perfusion assessed by DCEMRI and serum cytokine levels with objective tumor response.	Phase 1|Phase 2	https://ClinicalTrials.gov/show/NCT00155272
NCT03511222	Not yet recruiting	No Results Available	Drug: Vorolanib|Drug: Nivolumab|Drug: Pembrolizumab|Procedure: Peripheral blood draw	Recommended phase II dose (RP2D) of vorolanib plus pembrolizumab|Recommended phase II dose (RP2D) of vorolanib plus nivolumab|Safety and toxicity of vorolanib plus pembrolizumab as measured by the number and type of adverse events experienced by participant|Safety and toxicity of vorolanib plus nivolumab as measured by the number and type of adverse events experienced by participant|Objective response rate (ORR)|Optimal duration of treatment regimen|Overall survival (OS)|Progression-free survival (PFS)|Immune-related progression-free survival (irPFS)	Phase 1	https://ClinicalTrials.gov/show/NCT03511222
NCT03515369	Not yet recruiting	No Results Available	Drug: Babaodan oral capsule|Drug: Placebo oral capsule	3-year disease free survival|disease free survival|overall survival|EORTC QLQ-C30	Phase 4	https://ClinicalTrials.gov/show/NCT03515369
NCT03539822	Not yet recruiting	No Results Available	Drug: Cabozantinib|Drug: Durvalumab	Maximum Tolerated Dose (MTD)|Proportion of participants with adverse events (AEs).|Overall Response Rate (ORR)|Overall Benefit Rate (OBR)|Progression Free Survival (PFS)|Overall Survival (OS)	Phase 1	https://ClinicalTrials.gov/show/NCT03539822
NCT03507998	Recruiting	No Results Available	Drug: CGX1321	Number of participants with adverse events and/or abnormal laboratory values that are related to treatment|CGX1321 maximum or peak concentration|CGX1321 minimum or trough concentration|CGX1321 time to maximum concentration|CGX1321 half life	Phase 1	https://ClinicalTrials.gov/show/NCT03507998
NCT00273247	Completed	No Results Available	Drug: Interferon alpha-2b	Recurrence Free Survival|Disease Specific Survival|Overall Patient Survival	Phase 3	https://ClinicalTrials.gov/show/NCT00273247
NCT03144661	Recruiting	No Results Available	Drug: INCB062079	Safety and tolerability of INCB062079 as measured by assessment of adverse events (AEs)|Tumor response rates in subjects with measurable disease based on Response Evaluation Criteria in Solid Tumors (RECIST)|Cmax of INCB062079|Tmax of INCB062079|Cmin of INCB062079|AUC0-t of INCB062079|t½ of INCB062079|Cl/F of INCB062079|Analysis of biomarkers	Phase 1	https://ClinicalTrials.gov/show/NCT03144661
NCT02423239	Unknown status	No Results Available	Drug: Dexanabinol|Drug: Sorafenib|Drug: Nab-paclitaxel|Drug: Gemcitabine	Maximum Tolerated Dose (MTD) of dexanabinol given in combination with standard chemotherapies|Number of adverse events (AEs) in patients receiving dexanabinol monotherapy|Number of adverse events (AEs) in patients receiving dexanabinol in combination with standard chemotherapies|Area under curve (AUC) of dexanabinol and (where applicable) combination chemotherapy|Maximum concentration (Cmax) of dexanabinol and (where applicable) combination chemotherapy|Minimum concentration (Cmin) of dexanabinol and (where applicable) combination chemotherapy|Tumour response ( RECIST 1.1, assessment by CT or MRI)	Phase 1	https://ClinicalTrials.gov/show/NCT02423239
NCT03101488	Recruiting	No Results Available	Drug: KN035	Incidence of dose limiting toxicities (DLTs) in dose escalation study|Percentage of participants with adverse events (AEs), serious adverse events and AEs of special interest|ORR of HCC patients in dose expansion study|Peak Plasma Concentration (Cmax) of KN035 in Chinese patients|Peak Time (Tmax) of KN035 in Chinese patients|Area under the plasma concentration versus time curve (AUC) of KN035 in Chinese patients|t1/2 of KN035 in Chinese patients|Trough concentration of KN035 in Chinese patients|Plasma clearance (CL) of KN035 in Chinese patients|Apparent volume of distribution of KN035 in Chinese patients|Accumulation rate of KN035 in Chinese patients|Anti-Drug Antibody of KN035 in Chinese patients|Changes of lymphocyte Subtyping|Changes of cytokine|Objective Response Rate (ORR)|Disease Control Rate (DCR)|Progression-Free survival (PFS)|Duration of Response (DOR)|Correlation of tumor response with the PD-L1 expression|Correlation of the tumor response with the expression of specific gene mutation	Phase 1	https://ClinicalTrials.gov/show/NCT03101488
NCT03222076	Recruiting	No Results Available	Drug: Nivolumab|Drug: Ipilimumab	Safety of Nivolumab Alone or Nivolumab plus Ipilimumab in Participants with Hepatocellular Carcinoma (HCC) Determined by Adverse Events|Objective Response Rate (ORR)|Progression-free survival (PFS)|Conversion Rate to Surgery for Potentially Resectable Participants.	Phase 2	https://ClinicalTrials.gov/show/NCT03222076
NCT02354898	Recruiting	No Results Available	Drug: BBI503|Drug: Sorafenib	Determine of the Maximum Tolerated Dose (MTD) of BBI503 monotherapy and in combination with Sorafenib by assessing dose-limiting toxicities (DLTs)|Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Pharmacokinetic profile of BBI503|Assessment of the preliminary anti-tumor activity by performing tumor assessments approximately every 8 weeks|Progression Free Survival|Overall Survival	Phase 1	https://ClinicalTrials.gov/show/NCT02354898
NCT03319459	Recruiting	No Results Available	Drug: FATE-NK100|Drug: Cetuximab|Drug: Trastuzumab	Incidence of dose-limiting toxicity (DLT)|Objective-response rate (ORR)|FATE-NK100 persistence	Phase 1	https://ClinicalTrials.gov/show/NCT03319459
NCT02572687	Active, not recruiting	No Results Available	Drug: Ramucirumab|Drug: MEDI4736	Number of Participants with Dose Limiting Toxicities (DLTs)|Percentage of Participants with a Best Response of Complete Response (CR) or Partial Response (PR): Objective Response Rate (ORR)|Proportion of Participants with a Best Overall Response of CR, PR, or Stable Disease (SD): Disease Control Rate (DCR)|Duration of Response (DoR)|Time to First Response (TTR)|Progression Free Survival (PFS)|Overall Survival (OS)|Pharmacokinetics (PK): Maximum Concentration (Cmax) of Ramucirumab and MEDI4736|PK: Minimum Concentration (Cmin) of Ramucirumab and MEDI4736|Number of Participants with Treatment Emergent Anti Ramucirumab Antibodies|Number of Participants with Treatment Emergent Anti MEDI4736 Antibodies	Phase 1	https://ClinicalTrials.gov/show/NCT02572687
NCT03095781	Recruiting	No Results Available	Drug: XL888|Biological: Pembrolizumab	Recommended phase II dose of the combination of XL888 and pembrolizumab as assessed by National Cancer Institute Common Terminology Criteria for Adverse Events version 4.0|Overall response rate as assessed by Response Evaluation Criteria in Solid Tumors (RECIST) 1.1|Overall survival|Progression free survival|Response duration as assessed by RECIST 1.1	Phase 1	https://ClinicalTrials.gov/show/NCT03095781
NCT02262455	Completed	No Results Available	Drug: STM 434|Drug: Liposomal doxorubicin	Maximum Tolerated Dose (MTD)|Recommended Phase 2 dose (RP2D)|Radiographic response rate|Muscle function and body composition	Phase 1	https://ClinicalTrials.gov/show/NCT02262455
NCT01546519	Completed	Has Results	Drug: Vismodegib	Maximum Observed Plasma Concentration and Concentration at Steady-state Following Multiple Doses of Vismodegib|The Area Under the Plasma Concentration-time Curve Over the Dosing Interval (AUC[0-24hours]) Following Multiple Doses of Vismodegib|The Percentage of Dose of Vismodegib in 24-hour Total Urine|Renal Clearance of Vismodegib|Amount of Vismodegib Excreted Into Urine in 24 Hours (Ae0-24hr)|Time to Maximum Plasma Concentration (Tmax) of Vismodegib|Minimum Plasma Concentration (Cmin) of Vismodegib|Apparent Clearance (CL/F) of Vismodegib|Apparent Non-renal Clearance (CLNR/F) of Vismodegib	Phase 1	https://ClinicalTrials.gov/show/NCT01546519
NCT03407001	Recruiting	No Results Available	Procedure: Ultrasound|Drug: Lumason	Accuracy of contrast enhanced ultrasound (CEUS) utilizing contrast agent compared to B-mode non-contrast enhanced ultrasound for liver lesion detection, including hepatocellular carcinoma (HCC), in cirrhotic US patients	Early Phase 1	https://ClinicalTrials.gov/show/NCT03407001
NCT03009461	Recruiting	No Results Available	Procedure: HAIC|Drug: Sorafenib	Overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT03009461
NCT03192644	Recruiting	No Results Available	Procedure: TAI|Procedure: TACE|Drug: epidoxorubicin and cisplatin and lipiodol|Drug: mFOLFOX6 (oxaliplatin, calcium folinate, and 5-FU)	recurrence-free survival (RFS)|recurrence rate|Overall survival (OS)	Phase 3	https://ClinicalTrials.gov/show/NCT03192644
NCT03219372	Recruiting	No Results Available	Drug: Pravastatin Pill|Drug: Placebo Oral Tablet	Time to Recurrence|Recurrence Free Survival|Overall Survival|Waitlist drop-off|Change in liver stiffness|Change in liver fat fraction|Change in Inflammatory Biomarkers	Phase 2	https://ClinicalTrials.gov/show/NCT03219372
NCT03313596	Recruiting	No Results Available	Drug: ADV-Tk|Procedure: LT	Progression-free survival, PFS|Overall survival, OS|Time of the tumor progression,TTP|Median overall survival time	Phase 3	https://ClinicalTrials.gov/show/NCT03313596
NCT02387307	Unknown status	No Results Available	Drug: rSIFN-co	To determine the safety and tolerability of rSIFN-co|To determine the RD of rSIFN-co for solid tumors|To evaluate extended safety and antitumor efficacy (Disease Control Rate) of rSIFN-co at the RD|To determine the objective response rate (ORR), progression-free survival (PFS), and time to progression (TTP) on rSIFN-co|To determine the FDG-PET response before and after administration of rSIFN-co	Phase 1	https://ClinicalTrials.gov/show/NCT02387307
NCT02029690	Active, not recruiting	No Results Available	Drug: ADI-PEG 20	Define initial estimates of efficacy, measured by RECIST 1.1 criteria for non-squamous NSCLC, advanced peritoneal mesothelioma, metastatic uveal melanoma, HCC, glioma and sarcomatoid cancers for ADI-PEG 20 in combination with pemetrexed and cisplatin.|Define initial estimates of efficacy, measured by modified RECIST criteria for advanced MPM|Determine the MTD of ADI-PEG 20 in combination with pemetrexed and cisplatin	Phase 1	https://ClinicalTrials.gov/show/NCT02029690
NCT01174121	Recruiting	No Results Available	Biological: Young TIL|Drug: Aldesleukin|Drug: Cyclophosphamide|Drug: Fludarabine|Drug: Pembrolizumab	Rate of tumor regression|Frequency of treatment related to adverse events|Safety and efficacy of pembrolizumab following TIL therapy	Phase 2	https://ClinicalTrials.gov/show/NCT01174121
NCT02315066	Recruiting	No Results Available	Drug: PF-04518600|Drug: PF-04518600 plus PF-05082566	Number of participants with Dose-limiting toxicities (DLT) [Dose Escalation]|Overall safety profile [Dose Expansion]|Incidence of anti-drug antibodies and neutralization assays|Number of participants with objective response|Unbound (free) cell surface OX40 in peripheral blood|Maximum Observed Plasma Concentration (Cmax)|Area under the concentration versus time curve (AUCt)	Phase 1	https://ClinicalTrials.gov/show/NCT02315066
NCT02755311	Unknown status	No Results Available	Procedure: liver resection|Procedure: transarterial chemoembolization|Drug: carboplatin|Drug: lipiodol|Drug: epirubicin , pirarubicin , hydroxycamptothecin and fluorouracil|Other: absorbable gelatin sponge particles	Overall survival|Mortality	Phase 3	https://ClinicalTrials.gov/show/NCT02755311
NCT03017326	Recruiting	No Results Available	Drug: Cisplatin|Drug: Doxorubicin|Drug: Carboplatin|Drug: 5Fluorouracil|Drug: Vincristine|Drug: Etoposide|Drug: Irinotecan|Drug: Gemcitabine|Drug: Oxaliplatin|Drug: Sorafenib	Event-free survival (EFS)|Response in HCC is defined as complete (CR) or partial (PR) response according to RECIST version 1.1 criteria|Failure-free survival (FFS)|Overall survival (OS)|Toxicity categorized and graded using Common Terminology Criteria for Adverse Events (CTCAE)|Chemotherapy-related cardiac, nephro- and oto-toxicity using Common Terminology Criteria for Adverse Events (CTCAE)|Hearing loss according to the SIOP Boston Scale|Best Response|Surgical resectability defined as complete resection, partial resection or transplant|Adherence to surgical guidelines	Phase 3	https://ClinicalTrials.gov/show/NCT03017326
NCT02232633	Active, not recruiting	No Results Available	Drug: BBI503	Disease Control Rate (DCR)|Objective response rate (ORR)|Progression free survival (PFS)|Overall survival (OS)|Pharmacodynamics (biomarkers) of BBI503 when tumor biopsy is possible|Number of Patients with Adverse Events	Phase 2	https://ClinicalTrials.gov/show/NCT02232633
NCT02973516	Recruiting	No Results Available	Drug: P03277	Diagnosis value	Phase 2	https://ClinicalTrials.gov/show/NCT02973516
NCT00849264	Completed	No Results Available	Drug: chemotherapy with endostar|Drug: treatment with CBP and 5-FU|Drug: treatment with endostar, CBP and 5-FU	overall survival|disease-free survival	Phase 2	https://ClinicalTrials.gov/show/NCT00849264
NCT03468231	Recruiting	No Results Available	Drug: Sorafenib|Drug: HAIC of FOLFOX|Drug: HAIC of OXA	Overall survival|Progress free survival|Adverse Events|Number of of Patients developed Adverse Events|Tumor response	Phase 3	https://ClinicalTrials.gov/show/NCT03468231
NCT01953926	Recruiting	No Results Available	Drug: Neratinib|Drug: Paclitaxel|Drug: Fulvestrant|Drug: Trastuzumab	Objective Response Rate (ORR first)|Objective Response Rate (ORR)|Progression-free survival (PFS)|Clinical Benefit Rate (CBR)|Duration of Response (DOR)|Overall Survival (OS)|Safety (Adverse Events [AEs] and Serious Adverse Events [SAEs])	Phase 2	https://ClinicalTrials.gov/show/NCT01953926
NCT02074202	Unknown status	No Results Available	Drug: 18F- fluorocholine|Drug: 18F- fluorodeoxyglucose	The pathological diagnosis of the liver tumor will be compared with the test result of the PET/CT scan findings.	Phase 3	https://ClinicalTrials.gov/show/NCT02074202
NCT02650427	Recruiting	No Results Available	Drug: Sitagliptin	Safety (Number of adverse events. Toxicity grade > 3)|DPPIV Activity|CXCL10 truncation|Immune cells trafficking|Infiltration of leucocytes in tumor tissue	Phase 1	https://ClinicalTrials.gov/show/NCT02650427
NCT00923481	Completed	Has Results	Drug: Fostamatinib disodium	Response Rate|Number of Participants With Adverse Events	Phase 2	https://ClinicalTrials.gov/show/NCT00923481
NCT01522820	Completed	No Results Available	Biological: DEC-205/NY-ESO-1 Fusion Protein CDX-1401|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Drug: Sirolimus	Incidence of adverse events in patients receiving the DEC-205/NY-ESO-1 fusion protein CDX-1401 with and without sirolimus, as evaluated according to the NCI CTCAE scale version 4.0|NY-ESO-1 specific cellular immunity|NY-ESO-1 specific humoral immunity	Phase 1	https://ClinicalTrials.gov/show/NCT01522820
NCT01482442	Completed	No Results Available	Drug: sorafenib|Drug: SIR-Sphere	Median overall survival time|Common Terminology Criteria for Adverse Events|Progression-free survival|Response rate|General and hepatic specific quality of life scores|Health care costs	Phase 3	https://ClinicalTrials.gov/show/NCT01482442
NCT01575574	Completed	No Results Available	Drug: GADOXETIC ACID	hepatocellular carcinoma diagnosed|magnetic resonance imaging sensitivity	Phase 4	https://ClinicalTrials.gov/show/NCT01575574
NCT01733004	Completed	No Results Available	Drug: MM-141	Severity and number of adverse events related to escalating doses of MM-141	Phase 1	https://ClinicalTrials.gov/show/NCT01733004
NCT02586285	Unknown status	No Results Available	Drug: S-Adenosyl Methionine	Time to tumor recurrence|Overall survival	Phase 1	https://ClinicalTrials.gov/show/NCT02586285
NCT00630084	Completed	No Results Available	Drug: pegylated interferon alpha 2a and plus ribavirin	Efficacy - Sustained virological response (SVR), HCV RNA seronegative by PCR throughout 24-week off-treatment period.|Rapid virologic response (RVR), HCV RNA seronegative by PCR at week 4.|Early virological response (EVR), by PCR-negative or at least 2 logs decline from baseline of serum HCV RNA at 12 weeks of treatment.|Safety - adverse event rate and profile	Phase 4	https://ClinicalTrials.gov/show/NCT00630084
NCT02452853	Unknown status	No Results Available	Procedure: HR|Drug: FOLFOX4	Recurrence rate|Number of Complications reported using the National Cancer Institute Common Toxicity Criteria grading version 4.0|Recurrence-free survival|Overall survival	Phase 2	https://ClinicalTrials.gov/show/NCT02452853
NCT02182687	Recruiting	No Results Available	Radiation: Stereotactic Body Radiation Therapy (SBRT)|Procedure: Trans-Arterial Chemoembolization (TACE)|Drug: Doxorubin	Time to first additional intervention to the treated lesions|Toxicity|Number of further interventions|Pathologic response of treated lesion(s)|Radiologic response of treat lesion(s)|Quality of Life	Phase 2	https://ClinicalTrials.gov/show/NCT02182687
NCT03116984	Recruiting	No Results Available	Procedure: Transcatheter arterial chemoembolization|Radiation: external- beam radiotherapy|Drug: Adriamycin|Drug: Lipiodol	3-year overall survival(OS)	Phase 3	https://ClinicalTrials.gov/show/NCT03116984
NCT00375245	Completed	No Results Available	Drug: Rapamycin (sirolimus)|Other: Grapefruit Juice	Pharmacokinetic interaction	Phase 1	https://ClinicalTrials.gov/show/NCT00375245
